titre,artistes,url,streams_avant,streams_apres,ecart
Je sais pas,Vinz Lvl,https://open.spotify.com/track/4B41bSFb6H2ZH4eaT5jWPb?si=QqbI7AURSn6wxki-fphbyw,0,0,0
Épisode 3 (Interlude),N3palm,https://open.spotify.com/track/6gmzZOCdEiIu5XxQ11xGpg?si=UG5Q1BoxS9WNHPbG_dC8jg,0,0,0
Prince De La Ville,Shym4,https://open.spotify.com/track/2yOH1TPRfm2Mkdsq6VWb4U?si=AzGjpt9jSu-YVDh4nDCo7w,0,0,0
Business class,KrS,https://open.spotify.com/track/5jUNMAluTIR9c26FtORHCJ?si=EFI9DuUmSzasKqPVusU0LA,0,0,0
Tranquillement,"Nolvo, Bodjy",https://open.spotify.com/track/7nqn4e3IJx7Yku04itdHgY?si=7Qiyz0auQJq82HhMDrGAhg,3394,3394,0
UKRYTE ŁZY,Young Żupan,https://open.spotify.com/track/6QhYbFU881Fj0pzwmMie2j?si=QODwkRQrQpGmjh-DDe_s4A,123096,124433,1337
Sourire sous le lampadaire,CKZ,https://open.spotify.com/track/5zyLAJWCVTSWQRDps6XSXC?si=fsGrLhwFSuay4KOz8oE09Q,0,0,0
QUE TOI,POLAR,https://open.spotify.com/track/3feBFqz2KheDnlgdtFdoXy?si=T-QnMhJiTgi6HTIt1-u01w,18276,19475,1199
Ressentimento,MC Mendonça DL,https://open.spotify.com/track/5MbM06wa3gzEQKFFSTouAV?si=C8eRcVmIT8ieTfg77Lyx7A,0,0,0
ASSEZ VITE,Cita,https://open.spotify.com/track/48NDhB8W2pkPipqKlBOqNL?si=EkT7igFPSjq0z0n8MAlidw,1328,1334,6
Hors-piste,L'insolite,https://open.spotify.com/track/2LxrXWgPuh8luIQib8X6Cs?si=zfy9R0hVR_G4GF-rI436Pw,2625,2725,100
Navré,"Loa 30, Dontif",https://open.spotify.com/track/0A3D9ElrNVdjxtMHGbXS56?si=EYS2ayFUQlq0S7uzzME1jQ,4166,4174,8
Tommy,Pevffy,https://open.spotify.com/track/0o4eLf9yzM4VZCRNMUIaiN?si=H3RIZxDKTHKIbo9AL0NivQ,33630,33805,175
Veloce,Hell Prince,https://open.spotify.com/track/13oCJWyg9Iwpn4m6VDWqXV?si=6K-E4wM0SI2dEObvuJgiAw,0,0,0
